es-en.2	3	s4	10	false
es-en.2	4	mt	4	
es-en.2	4	s1	6	true
es-en.2	4	s3	6	true
es-en.2	4	s2	4	false
es-en.2	4	s4	4	false
es-en.2	5	mt	6	
es-en.2	5	s3	6	true
es-en.2	5	s1	9	true
es-en.2	5	s2	6	false
es-en.2	5	s4	8	false
es-en.2	6	mt	8	
es-en.2	6	s2	9	false
es-en.2	6	s4	8	false
es-en.2	6	s3	9	true
es-en.2	6	s1	9	true
es-en.2	7	mt	9	
es-en.2	7	s2	9	false
es-en.2	7	s1	9	true
es-en.2	7	s4	10	false
es-en.2	7	s3	10	true
es-en.2	8	mt	8	
es-en.2	8	s4	9	false
es-en.2	8	s2	9	false
es-en.2	8	s3	9	true
es-en.2	8	s1	9	true
es-en.2	9	mt	6	
es-en.2	9	s1	8	true
es-en.2	9	s2	8	false
es-en.2	9	s3	8	true
es-en.2	9	s4	9	false
es-en.2	10	mt	10	
es-en.2	10	s2	10	false
es-en.2	10	s3	10	true
es-en.2	10	s4	10	false
es-en.2	10	s1	10	true
es-en.2	11	mt	10	
es-en.2	11	s3	10	true
es-en.2	11	s2	10	false
es-en.2	11	s4	10	false
es-en.2	11	s1	10	true
es-en.2	12	mt	8	
es-en.2	12	s3	9	true
es-en.2	12	s1	9	true
es-en.2	12	s4	9	false
es-en.2	12	s2	9	false
es-en.2	13	mt	9	
es-en.2	13	s4	9	false
es-en.2	13	s2	10	false
es-en.2	13	s3	10	true
es-en.2	13	s1	9	true
es-en.2	14	mt	8	
es-en.2	14	s2	9	false
es-en.2	14	s4	9	false
es-en.2	14	s3	9	true
es-en.2	14	s1	9	true
es-en.2	15	mt	8	
es-en.2	15	s4	10	false
es-en.2	15	s1	8	true
es-en.2	15	s2	9	false
es-en.2	15	s3	8	true
es-en.2	16	mt	8	
es-en.2	16	s3	6	true
es-en.2	16	s2	8	false
es-en.2	16	s4	9	false
es-en.2	16	s1	8	true
es-en.2	17	mt	6	
es-en.2	17	s2	9	false
es-en.2	17	s1	9	true
es-en.2	17	s3	8	true
es-en.2	17	s4	8	false
es-en.2	18	mt	10	
es-en.2	18	s4	10	false
es-en.2	18	s1	10	true
es-en.2	18	s2	10	false
es-en.2	18	s3	10	true
es-en.2	19	mt	9	
es-en.2	19	s1	10	true
es-en.2	19	s2	9	false
es-en.2	19	s3	10	true
es-en.2	19	s4	8	false
es-en.2	20	mt	9	
es-en.2	20	s2	9	false
es-en.2	20	s3	9	true
es-en.2	20	s1	9	true
es-en.2	20	s4	9	false
es-en.2	21	mt	9	
es-en.2	21	s4	9	false
es-en.2	21	s2	9	false
es-en.2	21	s1	9	true
es-en.2	21	s3	9	true
es-en.2	22	mt	9	
es-en.2	22	s1	9	true
es-en.2	22	s3	9	true
es-en.2	22	s4	10	false
es-en.2	22	s2	10	false
es-en.2	23	mt	6	
es-en.2	23	s3	8	true
es-en.2	23	s4	10	false
es-en.2	23	s1	9	true
es-en.2	23	s2	10	false
es-en.2	24	mt	8	
es-en.2	24	s3	9	true
es-en.2	24	s1	9	true
es-en.2	24	s4	10	false
es-en.2	24	s2	10	false
